Регион,Период,Несовершеннолетние,Ранее_судимые,В_состоянии_опьянения,Иностранцы_и_СНГ
Белгородская область,012021,1007,0,4,2
Брянская область,012021,1086,0,20,4
Владимирская область,012021,1112,0,13,0
Воронежская область,012021,2198,0,11,0
Ивановская область,012021,877,0,4,0
Калужская область,012021,1122,0,17,0
Костромская область,012021,630,0,0,0
Курская область,012021,1078,0,17,2
г. Москва,012021,9860,33,3,3
Московская область,012021,5577,0,8,0
Липецкая область,012021,887,0,4,0
Орловская область,012021,541,0,1,0
Рязанская область,012021,706,0,10,1
Смоленская область,012021,1019,0,6,2
Тамбовская область,012021,1160,1,5,0
Тверская область,012021,1402,0,7,1
Тульская область,012021,1189,2,5,2
Ярославская область,012021,942,1,1,0
Архангельская область,012021,1117,0,5,0
Ненецкий автономный округ,012021,46,0,2,0
г. Санкт-Петербург,012021,3979,6,5,5
Ленинградская область,012021,1734,0,4,3
Вологодская область,012021,1185,0,7,0
Калининградская область,012021,799,0,10,0
Мурманская область,012021,723,1,6,2
Новгородская  область,012021,570,0,16,0
Псковская область,012021,614,0,7,0
Республика Карелия,012021,966,1,6,0
Республика Коми,012021,978,0,14,0
Кабардино-Балкарская Республика,012021,545,0,2,0
Карачаево-Черкесская Республика,012021,225,0,5,0
Республика Дагестан,012021,1112,0,16,3
Республика Ингушетия,012021,124,0,1,1
Республика Северная Осетия – Алания,012021,626,0,28,0
Ставропольский край,012021,2539,0,3,3
Чеченская Республика,012021,233,1,3,0
Астраханская область,012021,994,0,6,0
Волгоградская область,012021,2553,3,25,0
г. Севастополь,012021,364,0,5,0
Ростовская область,012021,4173,0,30,2
Краснодарский край,012021,5725,0,55,1
Республика Адыгея,012021,377,0,0,0
Республика Калмыкия,012021,197,0,1,0
Республика Крым,012021,1514,0,19,1
Кировская область,012021,1325,5,4,0
Нижегородская область,012021,3212,9,6,1
Оренбургская область,012021,2087,0,20,0
Пензенская область,012021,934,0,10,0
Пермский край,012021,2862,7,27,0
Республика Татарстан,012021,4275,2,15,2
Республика Башкортостан,012021,3993,4,22,1
Республика Марий Эл,012021,451,1,27,0
Республика Мордовия,012021,651,4,15,0
Самарская область,012021,3166,62,19,0
Саратовская область,012021,2296,30,2,0
Удмуртская Республика,012021,1968,5,5,4
Ульяновская область,012021,835,5,1,1
Чувашская Республика,012021,861,1,8,0
Курганская область,012021,934,2,18,0
Свердловская область,012021,3929,1,22,3
Тюменская область,012021,1559,2,8,0
Ханты-Мансийский автономный округ –  Югра,012021,1266,2,6,0
Ямало-Ненецкий автономный округ,012021,543,0,4,0
Челябинская область,012021,3600,12,29,0
Алтайский край,012021,2789,5,17,0
Иркутская область,012021,2312,1,5,0
Кемеровская область – Кузбасс,012021,3232,0,15,2
Красноярский край,012021,3114,6,20,0
Новосибирская область,012021,3024,17,25,3
Омская область,012021,1616,1,7,6
Республика Алтай,012021,388,0,1,0
Республика Тыва,012021,502,1,4,0
Республика Хакасия,012021,785,1,1,0
Томская область,012021,1023,0,7,1
Амурская область,012021,1240,4,28,0
Еврейская автономная область,012021,181,0,4,0
Забайкальский край,012021,1443,2,20,0
Камчатский край,012021,493,5,12,0
Магаданская область,012021,161,0,33,0
Приморский край,012021,1945,13,31,6
Республика Бурятия,012021,1312,16,7,1
Республика Саха (Якутия),012021,881,0,0,0
Сахалинская область,012021,596,2,7,0
Хабаровский край,012021,1363,0,14,0
Чукотский автономный округ,012021,44,0,7,0
Транспорт России,012021,2888,0,42,117
УТ МВД по Южному ФО,012021,160,0,2,4
УТ МВД по Уральскому ФО,012021,348,0,5,20
УТ МВД по Центральному ФО,012021,423,0,4,37
УТ МВД по Приволжскому ФО,012021,445,0,4,13
УТ МВД по Сибирскому ФО,012021,270,0,2,5
УТ МВД по Северо-Западному ФО,012021,371,0,8,21
УТ МВД по Дальневосточному ФО,012021,309,0,7,6
УТ МВД по Северо-Кавказскому ФО,012021,247,0,8,7
Белгородская область,012022,1084,0,13,0
Брянская область,012022,1181,1,6,5
Владимирская область,012022,1116,2,5,0
Воронежская область,012022,2298,1,9,2
Ивановская область,012022,834,0,6,0
Калужская область,012022,1076,1,11,0
Костромская область,012022,560,0,2,0
Курская область,012022,1127,0,10,2
г. Москва,012022,10298,13,4,3
Московская область,012022,5484,4,9,1
Липецкая область,012022,819,0,5,0
Орловская область,012022,586,1,3,0
Рязанская область,012022,680,0,7,0
Смоленская область,012022,1004,1,6,1
Тамбовская область,012022,1120,1,6,0
Тверская область,012022,1402,0,6,0
Тульская область,012022,1002,1,4,1
Ярославская область,012022,957,2,1,2
Архангельская область,012022,1076,0,33,0
Ненецкий автономный округ,012022,39,0,1,0
г. Санкт-Петербург,012022,4585,24,5,6
Ленинградская область,012022,1734,2,5,2
Вологодская область,012022,1246,0,4,0
Калининградская область,012022,874,0,12,2
Мурманская область,012022,832,0,22,0
Новгородская  область,012022,607,2,8,0
Псковская область,012022,598,2,12,0
Республика Карелия,012022,910,2,4,0
Республика Коми,012022,1085,5,8,0
Кабардино-Балкарская Республика,012022,491,0,2,0
Карачаево-Черкесская Республика,012022,323,0,5,0
Республика Дагестан,012022,1204,0,13,2
Республика Ингушетия,012022,136,0,1,0
Республика Северная Осетия – Алания,012022,616,0,23,0
Ставропольский край,012022,2560,0,5,1
Чеченская Республика,012022,123,0,2,1
Астраханская область,012022,922,0,8,0
Волгоградская область,012022,2876,4,9,0
г. Севастополь,012022,477,0,5,0
Ростовская область,012022,4082,0,23,0
Краснодарский край,012022,5875,2,33,2
Республика Адыгея,012022,437,0,6,0
Республика Калмыкия,012022,218,0,2,0
Республика Крым,012022,1452,0,21,1
Кировская область,012022,1192,14,10,0
Нижегородская область,012022,2927,9,7,0
Оренбургская область,012022,1725,2,45,1
Пензенская область,012022,966,2,9,0
Пермский край,012022,2762,7,3,1
Республика Татарстан,012022,3926,0,6,2
Республика Башкортостан,012022,3610,15,10,1
Республика Марий Эл,012022,504,0,3,0
Республика Мордовия,012022,622,0,5,0
Самарская область,012022,3513,59,11,3
Саратовская область,012022,2196,2,10,0
Удмуртская Республика,012022,1821,1,7,0
Ульяновская область,012022,801,4,2,0
Чувашская Республика,012022,893,0,1,0
Курганская область,012022,1009,0,25,0
Свердловская область,012022,3914,2,13,2
Тюменская область,012022,1650,0,38,0
Ханты-Мансийский автономный округ –  Югра,012022,1517,2,3,0
Ямало-Ненецкий автономный округ,012022,431,0,6,0
Челябинская область,012022,3700,10,27,1
Алтайский край,012022,2945,7,31,1
Иркутская область,012022,2387,1,17,0
Кемеровская область – Кузбасс,012022,3177,0,17,0
Красноярский край,012022,3226,7,9,3
Новосибирская область,012022,2992,29,19,16
Омская область,012022,1572,8,5,2
Республика Алтай,012022,396,0,3,0
Республика Тыва,012022,395,1,2,1
Республика Хакасия,012022,716,1,12,0
Томская область,012022,1096,4,5,4
Амурская область,012022,1134,2,38,0
Еврейская автономная область,012022,148,1,3,0
Забайкальский край,012022,1430,4,12,0
Камчатский край,012022,408,5,7,2
Магаданская область,012022,168,0,1,0
Приморский край,012022,2035,21,45,10
Республика Бурятия,012022,1367,5,12,0
Республика Саха (Якутия),012022,819,0,2,0
Сахалинская область,012022,535,0,7,0
Хабаровский край,012022,1324,1,17,0
Чукотский автономный округ,012022,59,0,1,0
Транспорт России,012022,2966,0,32,131
УТ МВД по Южному ФО,012022,164,0,3,8
УТ МВД по Уральскому ФО,012022,357,0,6,10
УТ МВД по Центральному ФО,012022,444,0,2,29
УТ МВД по Приволжскому ФО,012022,472,0,4,15
УТ МВД по Сибирскому ФО,012022,317,0,4,27
УТ МВД по Северо-Западному ФО,012022,340,0,2,16
УТ МВД по Дальневосточному ФО,012022,264,0,2,7
УТ МВД по Северо-Кавказскому ФО,012022,348,0,2,10
Белгородская область,022021,2061,0,9,8
Брянская область,022021,2298,0,35,2
Владимирская область,022021,2293,0,25,0
Воронежская область,022021,4199,2,28,3
Ивановская область,022021,1772,1,6,0
Калужская область,022021,2293,1,34,0
Костромская область,022021,1232,0,1,0
Курская область,022021,2076,2,23,2
г. Москва,022021,21002,69,10,10
Московская область,022021,11024,1,12,1
Липецкая область,022021,1907,0,7,0
Орловская область,022021,1091,0,5,0
Рязанская область,022021,1380,0,17,1
Смоленская область,022021,1975,1,18,5
Тамбовская область,022021,2243,3,15,0
Тверская область,022021,2955,1,13,1
Тульская область,022021,2294,4,19,3
Ярославская область,022021,2153,1,6,0
Архангельская область,022021,2311,0,13,0
Ненецкий автономный округ,022021,108,0,14,0
г. Санкт-Петербург,022021,9847,11,8,11
Ленинградская область,022021,3648,0,7,3
Вологодская область,022021,2350,0,16,0
Калининградская область,022021,1709,0,14,3
Мурманская область,022021,1550,2,14,4
Новгородская  область,022021,1342,2,21,0
Псковская область,022021,1138,2,16,0
Республика Карелия,022021,1922,2,12,0
Республика Коми,022021,2087,0,19,0
Кабардино-Балкарская Республика,022021,1247,0,4,1
Карачаево-Черкесская Республика,022021,667,0,13,1
Республика Дагестан,022021,2588,0,29,9
Республика Ингушетия,022021,267,0,7,1
Республика Северная Осетия – Алания,022021,1388,0,44,0
Ставропольский край,022021,5096,0,4,5
Чеченская Республика,022021,578,2,6,0
Астраханская область,022021,2011,0,12,0
Волгоградская область,022021,5389,4,43,0
г. Севастополь,022021,762,0,11,0
Ростовская область,022021,8870,0,73,4
Краснодарский край,022021,11665,1,121,1
Республика Адыгея,022021,699,0,0,0
Республика Калмыкия,022021,411,0,4,0
Республика Крым,022021,3041,1,29,1
Кировская область,022021,2588,13,13,0
Нижегородская область,022021,6258,11,18,2
Оренбургская область,022021,4083,0,35,1
Пензенская область,022021,1913,0,12,0
Пермский край,022021,5725,15,51,2
Республика Татарстан,022021,8049,2,30,2
Республика Башкортостан,022021,7976,11,45,1
Республика Марий Эл,022021,970,6,44,0
Республика Мордовия,022021,1243,6,43,0
Самарская область,022021,6540,108,53,3
Саратовская область,022021,4608,66,7,0
Удмуртская Республика,022021,3995,6,12,1
Ульяновская область,022021,1754,12,6,2
Чувашская Республика,022021,1702,3,28,0
Курганская область,022021,1930,2,26,0
Свердловская область,022021,8075,3,51,4
Тюменская область,022021,3260,2,12,1
Ханты-Мансийский автономный округ –  Югра,022021,2833,2,17,0
Ямало-Ненецкий автономный округ,022021,1109,0,6,0
Челябинская область,022021,8152,22,84,0
Алтайский край,022021,5746,8,44,3
Иркутская область,022021,5044,1,25,0
Кемеровская область – Кузбасс,022021,6871,1,37,4
Красноярский край,022021,6556,12,60,2
Новосибирская область,022021,5955,48,44,5
Омская область,022021,3468,3,18,6
Республика Алтай,022021,767,0,8,0
Республика Тыва,022021,1189,2,9,0
Республика Хакасия,022021,1624,2,8,0
Томская область,022021,2219,0,15,2
Амурская область,022021,2435,4,42,0
Еврейская автономная область,022021,395,0,11,0
Забайкальский край,022021,2912,7,34,4
Камчатский край,022021,939,8,19,0
Магаданская область,022021,359,1,36,0
Приморский край,022021,4443,35,86,3
Республика Бурятия,022021,2759,28,24,0
Республика Саха (Якутия),022021,1665,0,1,0
Сахалинская область,022021,1189,4,14,1
Хабаровский край,022021,2925,1,22,0
Чукотский автономный округ,022021,103,0,9,0
Транспорт России,022021,5976,1,97,246
УТ МВД по Южному ФО,022021,296,0,6,9
УТ МВД по Уральскому ФО,022021,790,0,17,25
УТ МВД по Центральному ФО,022021,890,0,8,76
УТ МВД по Приволжскому ФО,022021,998,1,9,33
УТ МВД по Сибирскому ФО,022021,671,0,6,12
УТ МВД по Северо-Западному ФО,022021,705,0,10,47
УТ МВД по Дальневосточному ФО,022021,554,0,16,11
УТ МВД по Северо-Кавказскому ФО,022021,492,0,13,23
Белгородская область,022022,2134,0,18,3
Брянская область,022022,2394,1,30,6
Владимирская область,022022,2167,2,14,0
Воронежская область,022022,4519,2,18,2
Ивановская область,022022,1664,1,15,0
Калужская область,022022,2015,1,43,1
Костромская область,022022,1096,0,3,0
Курская область,022022,2166,0,16,5
г. Москва,022022,21615,29,12,11
Московская область,022022,10812,10,11,1
Липецкая область,022022,1822,0,14,1
Орловская область,022022,1209,1,3,0
Рязанская область,022022,1343,1,16,0
